Results written: Sat Feb  7 09:43:43 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01781538
Contributions  0.01742556
Restraints     0.00038982
Chi2           2.50986516
Reduced Chi2   0.00868465
Rw             0.13344186

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_ZR1_Phase0    9.99063739e-01 +/- 4.73540904e+13
x_ZR20_Phase0   8.34005946e-01 +/- 4.80580940e+13
x_ZR21_Phase0   1.65769315e-01 +/- 3.35290183e+13
x_ZR22_Phase0   1.63763438e-01 +/- 3.55256681e+13
x_ZR23_Phase0   8.36221073e-01 +/- 4.76600541e+13
x_ZR24_Phase0   4.99706375e-01 +/- 5.03946955e+13
x_ZR25_Phase0   1.00042375e+00 +/- 5.20725948e+13
x_ZR26_Phase0   4.99741004e-01 +/- 4.97957020e+13
x_ZR27_Phase0   -1.77647955e-04 +/- 5.14338890e+10
x_ZR28_Phase0   1.65198032e-01 +/- 3.57787611e+13
x_ZR29_Phase0   8.35717777e-01 +/- 4.82665640e+13
x_ZR2_Phase0    4.95952268e-01 +/- 4.67080647e+13
x_ZR30_Phase0   3.35084309e-01 +/- 4.34329512e+13
x_ZR31_Phase0   6.64988175e-01 +/- 4.78884114e+13
x_ZR32_Phase0   8.36860550e-01 +/- 4.72073077e+13
x_ZR33_Phase0   1.63909770e-01 +/- 3.48625803e+13
x_ZR34_Phase0   6.64571518e-01 +/- 4.77056002e+13
x_ZR35_Phase0   3.35369282e-01 +/- 4.52916433e+13
x_ZR36_Phase0   1.70238624e-01 +/- 3.65961829e+13
x_ZR37_Phase0   8.29568104e-01 +/- 4.72988546e+13
x_ZR38_Phase0   3.32814592e-01 +/- 4.38880926e+13
x_ZR39_Phase0   6.67168662e-01 +/- 4.80554418e+13
x_ZR3_Phase0    5.04370463e-01 +/- 4.64276690e+13
x_ZR40_Phase0   8.38223919e-01 +/- 4.78126544e+13
x_ZR41_Phase0   1.61510807e-01 +/- 3.60413996e+13
x_ZR42_Phase0   6.66022645e-01 +/- 4.82941851e+13
x_ZR43_Phase0   3.33786819e-01 +/- 4.45412723e+13
x_ZR44_Phase0   3.32693667e-01 +/- 4.34260687e+13
x_ZR45_Phase0   6.67951711e-01 +/- 4.83942903e+13
x_ZR46_Phase0   8.30649759e-01 +/- 4.80935834e+13
x_ZR47_Phase0   1.69491560e-01 +/- 3.51803973e+13
x_ZR48_Phase0   1.70976833e-01 +/- 3.40813915e+13
x_ZR49_Phase0   8.28500549e-01 +/- 4.72330361e+13
x_ZR4_Phase0    9.96523355e-01 +/- 4.54872466e+13
x_ZR50_Phase0   6.67449250e-01 +/- 4.77105446e+13
x_ZR51_Phase0   3.31735416e-01 +/- 4.41849129e+13
x_ZR52_Phase0   3.36074832e-01 +/- 4.37748010e+13
x_ZR53_Phase0   6.63743308e-01 +/- 4.82780659e+13
x_ZR54_Phase0   6.61346578e-01 +/- 4.81525128e+13
x_ZR55_Phase0   3.37742650e-01 +/- 4.38029775e+13
x_ZR56_Phase0   8.35712195e-01 +/- 4.84143832e+13
